asn,conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
17552,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
17556,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
18197,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
23717,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
23725,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
23891,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
24042,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
24067,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
24128,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
24497,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
