asn,conglomerate,org_id,org_name,ownership_percentage,ownership_cc,ownership_country_name,rir,source,quote,quote_lang,url,additional_info,inputs,parent_org,target_cc,target_country_name
133761,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133764,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133791,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133907,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
133956,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
134095,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
134438,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
134682,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
135074,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
136182,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
136579,CN-MOBILE,ORG-TICC1-AP-APNIC,"True Internet Co.,Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,"G, E",ORG-CM1-AP-APNIC,TH,Thailand
38081,CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
38082,CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
45805,CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
55549,CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
55554,CN-MOBILE,ORG-TIGC1-AP-APNIC,"True International Gateway Co., Ltd.",18.0,CN,China,APNIC,Company's annual report,% OF TOTAL ISSUED SHARES: 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00),English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,C,ORG-CM1-AP-APNIC,TH,Thailand
55490,CN-MOBILE,ORG-TMCL1-AP-APNIC,True Move Company Limited,18.0,CN,China,APNIC,Company's annual report,NAME (% OF TOTAL): 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00)%,English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,E,ORG-CM1-AP-APNIC,TH,Thailand
132061,CN-MOBILE,ORG-TMCL1-AP-APNIC,True Move Company Limited,18.0,CN,China,APNIC,Company's annual report,NAME (% OF TOTAL): 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00)%,English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,E,ORG-CM1-AP-APNIC,TH,Thailand
132618,CN-MOBILE,ORG-TMCL1-AP-APNIC,True Move Company Limited,18.0,CN,China,APNIC,Company's annual report,NAME (% OF TOTAL): 2. CHINA MOBILE INTERNATIONAL HOLDINGS LIMITED (18.00)%,English,http://true.listedcompany.com/misc/AR/20180323-true-ar2017-en.pdf,,E,ORG-CM1-AP-APNIC,TH,Thailand
1892,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2773,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2774,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2775,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2776,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2777,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2778,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2779,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2780,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2781,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2782,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2783,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2784,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2785,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2786,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2787,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2788,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2789,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2790,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2791,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
2792,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
3320,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
8204,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
15996,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
20936,DE-DTAC,ORG-DTA2-RIPE,Deutsche Telekom AG,31.9,DE,Germany,RIPE,Company's website,Shareholder: German State (31.9%),English,https://www.telekom.com/en/investor-relations/company/shareholder-structure,,"G, E",,,
12713,DE-DTAC,ORG-OOGS1-RIPE,OTEGlobe - OTE Global Solutions SA,31.9,DE,Germany,RIPE,Company's annual report,Shareholder: DEUTSCHE TELEKOM AG: (45.00%),English,"https://www.athexgroup.gr/documents/10180/43442/Financial+Report+OTE+S.A.+(2018,Year+Statement,Both).pdf/bcfcf16e-c120-48b9-ba18-01e603cbe36a?version=1.0",Shareholder: German State (31.9%) (https://www.telekom.com/en/investor-relations/company/shareholder-structure),C,ORG-DTA2-RIPE,GR,Greece
24835,EG-TE,@aut-24835-RIPE,Vodafone Data - Egypt,45.0,EG,Egypt,AFRINIC,Freedom House,Telecom Egypt also owns about 45 percent of Vodafone Egypt,English,https://freedomhouse.org/country/egypt/freedom-net/2019,"In addition, virtually all of Egypt's telecommunications infrastructure is owned by Telecom Egypt, a state-owned company.","G, E, W",,,
2278,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2279,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2280,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2281,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2282,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2283,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2284,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2285,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2286,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2287,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2288,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2289,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2290,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2291,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2292,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2293,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2294,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2295,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2296,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2297,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2298,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2299,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2300,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2301,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2302,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2303,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2304,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2305,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2306,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2307,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2308,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2309,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2310,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2311,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2312,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2313,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2314,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2315,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2316,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2317,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2318,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2319,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2320,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2321,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
2322,FR-ORANGE,ORG-FT2-RIPE,Orange S.A.,22.95,FR,France,RIPE,Company's annual reports,"On December 31, 2019, the French State retained 22.95% of the share capital, held either directly or jointly with Bpifrance Participations.",English,https://www.orange.com/en/content/download/54176/1485255/version/2/file/ORANGE_URD_2019_VA.pdf,,"G, E",,,
